,segment,brand,site,inn,name,revenue_year,revenue,source
30,full_cycle,AGIMA,https://www.agima.ru/,7707380198,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГИМА ИНТЕРАКТИВ""",2024,1424990000,list_org
31,full_cycle,Affect,https://affect.ru/,7724364478,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЛЮС ПЛЮС ПРОДАКШН""",2024,281192000,list_org
32,full_cycle,MullenLowe,https://mullenlowe.ru/,7704231166,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭДВЕНТА ЛОУ""",2024,425718000,list_org
35,full_cycle,LBL Communication Group,https://lbl.ru/,7710878297,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕКЛАМНОЕ АГЕНТСТВО ЛБЛ""",2024,2244370000,list_org
37,full_cycle,Группа «КБ-12»,https://kb-12.com/,7718969588,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИБАРА""",2024,1010160000,list_org
41,souvenir,РПК «Пи-Ай-Ви»,https://p-i-v.ru/,7704555932,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РПК ""ПИ-АЙ-ВИ""",2024,204429000,list_org
42,souvenir,Oasis,https://www.oasiscatalog.com/,7721595131,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОЭТАЛОН""",2024,4954930000,list_org
43,souvenir,Проект 111,https://gifts.ru/,7838307811,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОЕКТ 111""",2024,9458780000,list_org
44,souvenir,Happy Gifts,https://happygifts.ru/,5040145555,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕРГИФТ""",2024,1210940000,list_org
45,souvenir,Платина,https://platinaipk.ru/,2461037736,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ИЗДАТЕЛЬСКО-ПОЛИГРАФИЧЕСКАЯ КОМПАНИЯ ""ПЛАТИНА""",2024,233424000,list_org
47,souvenir,Прагматика,https://pragmatica.gifts/,6685136716,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРАГМАТИКА""",2024,273397000,list_org
50,souvenir,ОКЕАН бизнес сувениров,https://www.oceangifts.ru/,6316160467,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАКРОС""",2024,217045000,list_org
51,souvenir,Zeytz,https://www.zeytz.ru/,7705884383,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭЙБИЭС""",2024,1446010000,list_org
54,souvenir,LBK Marketing Pro,https://lbk-mpro.ru/,7743777640,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛБК МАРКЕТИНГ ПРОДАКШЕН""",2024,1202810000,list_org
55,souvenir,Эклектика,https://eklektika.ru/,7704404228,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКЛЕКТИКА""",2024,423257000,list_org
60,souvenir,Сувенир Медиа,https://suvmedia.ru/,7714736550,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СУВЕНИР МЕДИА""",2024,703387000,list_org
